workerid,proliferate.condition,affiliation,age,comments,confused,confused_prevented,confusion,education,enjoyment,fairprice,gender,language,problems,race,error
1556,main,6,46,,Yes,No,"Kept getting message to adjust ""all sliders"" when I did adjust all of them...",4,1,1.00,Female,English,see previous ,White,
1240,main,0,29,That was interesting! Thanks!,No,No,n/a,3,2,$1.40,Female,English,n/a,White,
1448,main,0,25,N/A,No,,N/A,3,1,Yes,Female,English,No,White,
1642,main,2,67,,No,,,4,2,5,Male,English,no,White,
1417,main,3,33,,Yes,,,3,1,2$,Male,english,,White,
1259,main,2,25,,No,No,,4,1,,Female,"English, Cantonese",,Asian,
1614,main,4,51,,No,No,Not confused,3,2,$1,Male,English,None,White,
1416,main,2,53,No comments,No,,N/A,5,2,1,Female,English, No,White,
1059,main,3,37,N/A,No,,,5,1,1,Male,English,No,White,
1523,main,0,26,,No,,,3,1,,Female,English,,White,
1077,main,4,62,,No,,,3,1,1 dollar,Female,English,,White,
1327,main,4,77,nothing comes to mind,No,,,5,1,1.25,Male,English,none,White,
1128,main,2,27,,No,,,4,1,1.00,Female,English,no,White,
1034,main,0,29,,No,No,n/a,3,2,$1.50,Female,English,n/a,Asian,
1391,main,2,31,,No,No,,4,1,$1,Female,english,no,White,
1478,main,0,33,,No,No,n/a,4,1,1.00,Female,English,no,White,
1437,main,4,64,The volume of the first (practice) conversation should be louder. It was a little difficult for me to hear clearly.,No,,N/A,4,2,$1.32,Female,English,No,White,
1085,main,6,55,none,No,,n/a,3,1,1.00,Female,English,no,White,
1172,main,0,53,"None, but thanks for asking for feedback.",No,,n/a,5,1,1.05,Female,English,No,White,
1127,main,0,38,,No,No,,4,1,$1.00,Male,English,,White,
1649,main,0,39,,No,,,4,1,1.05,Male,English,No,AA,
1466,main,-1,37,I would gladly do another study like this. Thank you for something fun and interesting!,No,No,,2,2,9/hr,Other,English,,White,
1684,main,3,52,"Thank you, good survey, interesting interface.",No,,N/A,3,2,$5.00,Male,English,N/A,White,
1257,main,0,50,The first test aaudio was hard to tell what they were saying,No,No,,3,1,$3.50,Male,English,,White,
1513,main,5,26,,No,,,4,1,The amount you listed on the survey,Female,English,no,White,
989,main,0,40,,No,,,2,1,2.00,Female,English,,White,
1286,main,0,30,None,No,,NA,4,1,1.50,Female,English,No,White,
1306,main,5,53,,No,,,3,1,1.50,Female,English,Definitely sounded like there was another word spoken after Saturday in the first clip where we had to type the last word. Conversation was also spelled wrong on one of the pages.,White,
1076,main,0,27,,No,,,4,1,,Female,English,,Asian,
1431,main,2,41,,No,,,3,2,$2,Female,english,no,White,
1575,main,3,46,"The question asking where Lamar was going, did not give an answer in the audio clip, no destination was mentioned",No,,,4,1,$1,Male,English,No,White,
1186,main,1,,,No,,,3,2,1.50,Male,English,no,White,
1450,main,3,69,no,Yes,,N/A,4,2,1.50,Male,English,no,White,
1658,main,3,32,,No,,,2,2,£1.05,Male,english,,White,
1506,main,0,39,It was interesting.,No,,,3,2,1.00,Male,English,"No, everything worked perfectly.",White,
1229,main,0,34,,No,,,4,1,n/a,Male,English,,White,
1161,main,3,46,,No,,,5,1,1.00,Male,English,,White,
1638,main,-1,26,none,No,No,,4,1,$1.20,Male,English,none,Latino,
1542,main,6,53,Interesting study and done better than other audio studies/surveys I've taken on Prolific.,No,,,4,2,$.50,Male,English,No problems or bugs,White,
1673,main,5,46,,No,,,4,2,5.00,Male,English,No,AA,
1158,main,3,53,Mentioned the glitch I experienced above and hope that does not affect approving the study.,No,No,,3,2,1.50,Female,English,"Yes, it would not let me advance until I adjusted the slider on last page of sliders, which I had done and readjusted them but still nothing. So I had to refresh and was presented with a new set of speakers and this time it no glitch.","Latino, White",
1140,main,0,21,,No,No,,3,1,$3,Female,Enlgish,"In the sample sentence, the speaker says something after Saturday.",White,
1574,main,2,28,,No,No,,4,2,1,Female,English,,White,
1347,main,0,55,Very nice change from the usual work here on Prolific.,No,No,,2,2,1.05,Female,English,,White,
1452,main,2,74,Thank you for a survey more interesting than most!,No,,,5,-1,whatever yu paid is fine,Female,english,,White,
1425,main,6,26,N/A,No,No,N/A,4,1,2.00,Female,English,N/A,White,
1094,main,3,37,,No,No,,3,1,$1,Female,English,,White,
1249,main,0,71,,No,,,5,2,.75,Male,english,,White,
1421,main,6,51,"I enjoyed it, it was different, not just answering questions",No,,,4,2,1.00,Male,English,no,White,
985,main,0,32,,No,,,3,1,1.10,Female,English,No,White,
1227,main,1,34,,No,,,3,2,2,Female,english,no,White,
1592,main,1,34,,No,,,5,1,Yes,Male,English,,White,
1315,main,0,19,,No,,,3,1,1,Female,english,,Asian,
1613,main,1,29,NA,No,,,4,2,2 pounds,Male,English,NA,White,
1370,main,2,57,,No,No,,3,1,1.05,Female,English,no,AA,
1168,main,3,57,,No,,n/a,3,2,1.05,Female,English,no,White,
1122,main,-1,30,,No,,,3,1,1,Other,English,,White,
1162,main,0,26,,No,,,4,1,Yes,Female,English,,White,
1610,main,0,28,,No,No,,3,1,1.2,Male,English,,Asian,
1112,main,0,68,,No,,,3,1,1.00,Female,English ,,White,
1644,main,3,32,When answering the questions between white and black people I would have responded there is little to no difference but that answer was not made available.,No,,,4,2,The offered payment,Male,English,,White,
1062,main,3,49,,No,No,,4,1,$1.50,Other,English,,Latino,
1636,main,2,58,,Yes,No,No answer was ideal for the question relating to what they were talking about.  It was total speculation.,4,2,1.00,Male,English,no,"Asian, White",
1475,main,2,35,,No,No,,4,2,2,Male,English,,White,
1419,main,5,58,,No,,,3,1,yes,Male,English,,White,
1183,main,3,24,,No,No,,5,1,$1,Male,English,,White,
1387,main,0,57,,No,No,na,4,2,$2.00,Female,English,None,White,
1412,main,0,47,,No,,,3,1,1.25,Male,ENGLISH,NO,White,
1414,main,0,49,,Yes,No,"When asked what the scenario was about, there wasn't enough info in the conversation to indicate if it was about going to the movies, wedding, picnic, etc. so I just guessed.",5,1,$1,Male,English,,White,
996,main,5,28,I really enjoyed the audio clips with the questions.,No,No,,4,2,.75,Female,english,no it was great-thank you!,White,
1043,main,5,67,No issues. All was fine.,No,,No confusion.,3,2,1.00 pound,Male,English,All was good.,White,
1026,main,1,64,,No,,,4,-1,.75,Male,English,first set of sliders wouldn't let me proceed at first even though I had moved each. Readjusted.,White,
1607,main,3,41,,No,,,4,1,1,Male,English,,White,
1669,main,0,36,Thanks for having me!,No,,,3,2,1.25,Male,English,Nope,White,
1551,main,2,27,,No,No,N/A,4,2,,Male,English,None,White,
1251,main,0,26,,No,No,,2,1,1.00,Female,english,no,White,
1063,main,0,22,,No,,,3,1,yes,Male,english,,White,
1457,main,6,33,Thank you for including me in your research,No,No,,3,1,3,Female,English,None,White,
1010,main,0,37,,No,,,4,2,$1,Female,English,None,"Latino, White",
1415,main,2,36,,No,No,,4,2,1.25,Male,English,,White,
992,main,0,20,,No,No,,2,1,$5,Female,English,Nope,AA,
1663,main,0,30,No other comments.,No,,,5,1,$1.50,Male,English,There were no problems or bugs.,White,
1052,main,2,38,,No,,,4,2,1,Male,English,,White,
1018,main,0,63,thanks!,No,,,4,2,1.00 USD,Female,English,,White,
1289,main,0,52,I rarely have conversations with other humans so it was nice to hear people having conversations.,No,,,3,2,0.50,Female,english,N/A,White,
1220,main,0,25,,No,No,,2,1,1.25,Female,english,,Latino,
1376,main,2,30,"At the beginning, to get into the study you are supposed to input the last word. You said it is ""Saturday"", but after ""Saturday"" I still heard ""come down""",Yes,No,IF they were talking about a broken down car or going to the movies.,4,1,$1.50,Female,english,,White,
1540,main,0,26,,No,No,N/A,3,1,.75,Other,English,N/A,White,
1337,main,3,29,,No,,,4,1,1.50,Male,English,,White,
1081,main,2,62,,No,,,4,1,1,Female,English,,White,
1493,main,2,41,,No,,,2,1,,Male,English,,AA,
1096,main,3,35,none,No,No,none,5,2,1.00,Male,English,none,White,
1340,main,3,47,,No,,,3,1,,Male,English,,White,
1143,main,0,54,,Yes,,,3,1,1.50,Female,English,No,White,
1303,main,0,28,,No,,,4,1,$3,Female,english,no,White,
1666,main,3,60,,No,,,4,1,$1.20,Male,English,no,White,
1013,main,6,36,,No,No,,4,1,4,Male,English,,White,
1358,main,0,28,,No,,,4,1,1.50,Other,English,,White,
1473,main,5,39,,No,,,2,1,$1.15,Female,English,No issues,"Asian, White",
1508,main,1,28,,No,No,,4,2,$1,Female,English,,White,
1600,main,3,30,,No,,n/a,5,0,1.00,Female,English,no,White,
1410,main,3,61,none,No,No,none,4,1,what you are paying,Female,english,none,White,
1372,main,1,37,,No,,,4,1,1.50,Male,English,no,White,
1260,main,2,39,,No,No,,3,1,2.00,Female,english,,White,
1256,main,6,35,None.,No,No,None.,3,1,Yes,Female,English,None,White,
1225,main,0,56,No comments,No,,,5,2,A buck,Male,English,After listening to the first clip after the practice clip I couldn't proceed because it said I must listen to the clip first.  I refreshed my browser and it took me back to the test clip.   I may have missed the question right after the clip the first time.  ,White,
1061,main,0,45,I wish we could have learned the relationship between Ian and Carrie. It was a good study.,No,,N/A,3,2,1.05,Female,English,no,White,
1179,main,0,26,,No,No,,4,1,$1,Male,Vietnamese,,Asian,
1125,main,6,32,,No,,na,4,1,$5,Male,English,none,White,
1576,main,2,51,,No,,,4,1,no,Female,English,,White,
1208,main,2,26,,No,,,4,2,2,Female,English,,White,
1465,main,5,58,,No,,NA,2,1,2.00,Female,English,no,White,
1527,main,0,69,"The first test recording was difficult to understand, and that's the one where you wanted me to tell you a specific word spoken. Have you listened to it???",No,,,4,1,1.25,Female,Engish,no,White,
1120,main,4,66,,No,No,,4,1,.75,Male,english,,White,
1554,main,6,45,,No,No,,5,2,$1.90,Male,English,,White,
1126,main,3,33,,No,,,5,1,$2,Female,English,no,White,
1436,main,3,35,,No,No,,2,1,1.20,Male,English,,White,
987,main,2,53,Thank you. ,No,,n/a,4,1,$2,Female,English,n/a,White,
1581,main,6,56,N/A,No,,N/A,3,1,2.50,Female,English,N/A,White,
1601,main,2,33,enjoyed,No,,,2,2,fair,Male,English,no,White,
1103,main,6,55,,No,No,no,4,-1,1.00,Male,english,no,White,
1528,main,3,51,,No,,N/A,4,-1,$5,Female,English,,White,
1598,main,4,32,none,No,No,nonthing,4,1,$2,Male,English,none,White,
1216,main,2,38,,No,,,4,2,£1.05,Male,English,"No, there weren’t.",White,
1654,main,0,45,,No,,,3,1,1,Male,English,,"Latino, White",
1579,main,2,43,,Yes,,NA,5,1,1.50,Male,English,NA,White,
1226,main,3,25,Interesting survey!,No,No,n/a,4,2,yes,Female,English,n/a,White,
1333,main,6,74,It was interesting even though I had a problem with the audio portion of the second audio.,No,No,,2,1,1.06,Female,English,I couldn't hear it at first. I couldn't get the audio unmuted. I opened it in another tab and it worked.,White,
1373,main,0,40,Unable to express I felt both sexes and races equal at the end.,No,,,3,1,2.00,Male,English,In choosing which men or women then black or white... I felt neither option was appropriate... both experience these things equally I believe,White,
1344,main,0,36,,No,,,2,1,,Male,English,,White,
1350,main,3,80,There were words in the audio section that were mumbled and I had to listen several times to understand what was said.,No,,,5,1,1.5 USD,Male,english,None,White,
1662,main,2,41,,No,No,,3,2,$1.50,Male,English,,White,
1005,main,0,30,,No,,,4,1,$0.70,Other,English,,White,
1537,main,3,51,,No,,,3,1,1.50,Male,English,No.,White,
1141,main,3,32,,No,No,,3,1,1.00,Male,English,No.,"AA, Latino",
1004,main,1,25,,No,No,,4,1,2.5$,Male,english,no,AA,
1006,main,1,30,I have nothing to say.,No,No,No confused.,3,2,1,Female,English,No,White,
1201,main,4,40,,No,,,4,2,1.25,Male,English,none,White,
1467,main,3,29,,No,,,4,2,1.00,Female,English,No problems,White,
1379,main,-1,33,,Yes,No,It was a bit buggy.,3,1,1.25,Male,English,Yes. I was helped though.,White,
1207,main,-1,26,I think this experiment was very interesting.,No,,,2,1,The fair price already stated is fair to me.,Female,English,There were no problems or bugs in the experiment.,AA,
1171,main,4,45,everything worked as intended ,No,,n/a,4,2,no clue - i dont watch the time on these!,Male,English,no,Latino,
1451,main,2,24,,Yes,Yes,,1,1,2,Other,english,none,Asian,
1213,main,0,27,,Yes,No,I wasn't sure at first if the interruption Deshaun made in the conversation was intentional or a mistake in the audio.,2,2,$1.50,Male,English,None,AA,
1468,main,0,36,"some of the questions and radio buttons were a bit too close- space it out more, or spread throughout more pages?",No,No,no,4,2,$2,Male,English,mo,White,
1184,main,4,23,,No,No,,3,2,2.00,Female,english,,White,
1550,main,4,19,none,No,,nothing,2,2,1.50,Female,English,no,White,
1116,main,5,36,loved it very engaging and interesting i wish it was longer with more conversations to evaluate i think it was fun and interesting but i am a psychology major so i love leraning about this stuff,No,No,nothing,4,2,sure,Female,english,nope it was perfect =),White,
1135,main,0,33,,No,No,,4,1,1.50,Female,English,no,White,
1469,main,0,61,,No,No,,4,1,1000000,Male,English,,White,
986,main,0,21,,No,,,3,2,$1,Female,English,no,White,
1262,main,1,20,,No,,,3,1,1.50,Female,english,,Asian,
1640,main,-1,60,,No,,,2,1,2,Male,english,none,White,
1590,main,3,26,,No,,,4,1,$1,Male,English,,"Asian, AA",
1667,main,1,24,I found the study interesting to take. Thanks!,No,,,3,2,Fifty cents,Male,English,No.,White,
1193,main,6,35,,No,,,4,2,$1.00,Female,English,no,White,
1651,main,0,67,,No,No,,2,2,1.05,Male,English,nO,White,
1657,main,0,67,NA,No,,,4,0,2.00,Male,English,,White,
1611,main,1,35,"This was an interesting study, and I hope it helps advance your research.",No,,,2,1,1.25,Male,English,N/A,White,
1001,main,6,23,none,No,No,,4,2,yes,Female,English,no,White,
1656,main,5,38,,No,No,,4,1,.60,Male,english,no,White,
1411,main,4,53,thank you!,No,,,4,2,$1.40,Female,English,no,White,
1454,main,1,18,,No,,,2,1,1.00,Female,English,,White,
1395,main,0,48,,Yes,,,4,2,$1,Male,English,,White,
1228,main,3,33,"No, comments today.",No,,,4,1,$1.20,Male,English,No.,White,
1051,main,2,45,,No,,,4,1,yes,Female,English,No problems or bugs,White,
1266,main,3,42,,No,,,3,1,1.00,Female,English,,White,
1487,main,0,49,,No,,NA,4,1,1.00,Male,English,Nope.  Everything worked fine.,White,
1110,main,0,42,,No,No,,3,1,2,Female,English,,White,
1643,main,0,40,,Yes,,,3,2,1.50,Male,English,,White,
1381,main,0,53,,No,,,3,2,1.50,Female,English,,White,
1176,main,3,31,thank you,No,,n/a,2,1,what I'm getting paid,Female,english,There were no issues,White,
1221,main,3,49,It was hard to hear the practice audio,No,,N/A,4,1,1.00,Male,English,no,White,
1532,main,4,80,,No,No,,5,1,whatever was listed,Male,english,,White,
1302,main,-1,37,,No,,,5,2,,Female,English,,White,
1635,main,4,45,none,No,No,,4,1,2.00,Male,English,no,White,
1632,main,1,39,,No,,N/A,0,1,$1.50,Male,English,No,White,
1275,main,2,34,non,No,No,,4,1,$2,Male,English ,no,White,
1142,main,3,57,,No,,,3,2,1.32,Female,English,No,White,
1181,main,0,22,,No,No,,3,1,$1,Female,English,,White,
1198,main,3,43,,No,No,,4,1,50 cents,Female,english,,White,
1676,main,4,69,,No,No,,2,1,1,Male,English,none,White,
1578,main,3,36,,Yes,No,None of the options listed for what the conversation was about were particularly relevant.,4,1,3.00,Male,English,,White,
1093,main,0,29,,No,,,3,2,1,Male,English,,White,
1245,main,-1,45,None,No,,,5,2,2 dollars,Male,English,no,Asian,
1482,main,2,34,,No,,,5,1,1,Male,English,,White,
1552,main,0,64,No comments. Thank you. ,No,No,,4,2,1.00,Female,English,No problems,AA,
1311,main,2,23,,No,No,,2,1,$1.5,Male,English,No,White,
1084,main,4,48,none,No,No,not confused,3,1,1.05,Male,english,none,White,
1498,main,3,58,very interesting and different!,No,,,3,2,50,Female,english,,White,
1174,main,3,55,,No,,,4,1,75 cents,Female,english,It was difficult to understand the two men in the sample audio,White,
1280,main,0,29,N/A,No,No,I was not confused.,4,1,$1,Female,English,"At one point when answering the questions, I could not move on because I was given a message that I should adjust all of the sliders before going to the next page, but I had definitely moved all of them. So, I just clicked on each circle again, and this allowed me to move on.",White,
1401,main,0,58,,No,,,3,2,one dollar,Female,english,,White,
1456,main,4,57,,No,No,,4,2,2,Male,English,,White,
1066,main,2,22,,Yes,No,"The first audio clip. The final words are ""I'll come"" not ""saturday"". Caused a bit of confusion",2,1,$1.50,Male,English,No,White,
1665,main,3,22,In the intro to the study where their was a trial of the task before the actual start of the study; It instructed participants to type the last word in the conversation. The correct word to proceed was 'Saturday' although this was not actually the last word spoken. ,No,,,3,2,$2.00 USD,Male,English,No.,White,
981,main,5,21,,No,,,2,1,1.05,Male,English,In the test conversation it asked what was the last word but it sounded like gibberish and confused me.,"AA, Latino, White",
1235,main,2,38,,No,No,,4,1,Yes,Male,English,None,White,
1318,main,0,54,,No,,,3,1,.60,Female,English,None,White,
1167,main,0,33,,Yes,No,"The last word in the practice was not Saturday. It sounds like ""I"" and then a cut off word. Almost sounds like "" I count"" after Saturday. Took me several guesses to get it right. I ended up saying screw it and tried the word before the last word which was ""saturday""",4,0,no 12 minutes so far,Male,English,"The last word in the practice was not Saturday. It sounds like ""I"" and then a cut off word. Almost sounds like "" I count"" after Saturday. Took me several guesses to get it right. I ended up saying screw it and tried the word before the last word which was ""saturday""",White,
1652,main,6,35,this was great ,No,No,,2,2,10.00,Male,English ,no,White,
1197,main,0,44,,No,No,,4,2,$1,Female,English,no,White,
1156,main,3,51,,No,No,No confusion,3,1,1.05,Male,English,No problems or bugs noted,White,
1118,main,0,20,I liked that the audio clip was easy to hear because sometimes they are not in other studies.,No,,N/A,3,2,1.50,Female,English,N/A,Asian,
1086,main,3,30,No other comments.,No,,N/A,4,2,About £1.20,Male,English,There were no problems or bugs.,White,
1185,main,5,43,,No,No,,4,1,1.25,Female,English,No,AA,
1115,main,0,23,,No,No,,4,1,0.30,Female,english,,White,
1021,main,0,59,,No,,,3,2,1.25,Female,English,no,White,
1353,main,1,29,,No,,,3,1,0.50,Female,English,Nope,"Latino, White",
1367,main,-1,,,,,,-1,-1,,,,,,
1366,main,0,49,I have none.,No,,,4,2,What is being paid,Female,English,,AA,
1252,main,2,46,,No,No,no,5,1,meh,Male,english ,no,Asian,
1348,main,0,34,No comments. Thank you,No,No,,3,1,1.25,Female,English,No Problems,White,
1477,main,5,54,,No,,,4,1,1.00,Female,English,no,White,
1014,main,2,26,,No,No,,2,1,2$,Male,English ,,AA,
1630,main,2,42,,No,No,no,5,1,$1.50,Male,english,no,White,
1565,main,2,44,,No,No,,4,1,1.25,Female,english,,White,
1195,main,0,23,,No,,,4,2,$0.75,Female,English,,White,
1263,main,2,35,,No,,,4,2,2,Male,English,,White,
1463,main,0,37,n/a,No,,,4,2,2.00,Male,english,no,White,
1117,main,0,34,,No,,NA,4,1,3.00,Male,English,No,White,
1009,main,0,,,No,,,3,1,,Female,English,,White,
1402,main,4,47,,No,,,3,1,1.00,Female,English,no,White,
1064,main,4,55,Thank you for allowing me to participate.,No,No,,2,2,.65,Female,English,No,White,
1329,main,-1,,,No,No,,-1,-1,,,,,,
1618,main,0,51,,No,,,5,2,$1.6,Male,English,None,White,
1483,main,4,,,No,,,2,1,,Male,,,,
1130,main,3,34,,No,,,2,1,1.05,Male,English,None.,White,
1175,main,0,55,n/a,No,,,4,2,10/hr,Female,English,no,White,
998,main,2,41,,No,,Not at all,3,1,£1.05,Male,English,None,White,
1572,main,6,55,,No,No,,2,1,Yes,Female,English,No,White,
1555,main,6,58,,No,No,,4,1,.75,Male,english,no,AA,
1441,main,0,26,,No,,,5,1,Unsure,Female,English,No,"Asian, White",
1648,main,0,48,,No,No,,4,0,$2,Male,English,,White,
1378,main,3,32,N/A,No,No,N/A,4,1,$1.60,Male,English,None,White,
1173,main,3,41,cheers!,Yes,No,,3,2,$5,Male,English,,AA,
1276,main,1,47,"Some of the qualities associated with people we had to assign to a group were not what I would say to be good qualities per say or would put people in spot of not being treated well - so I found it weird to then have to decide in my 'ideal world' who would be associated most with each. I put equal for every answer because my deal world would be that people would not apply certain qualities to an entire group just because of their 'group' - but also, some qualities I wouldn't want anyone to have, honestly.",No,,,3,1,1.25,Female,English,"I was told to move all the markers when I already had moved ALL of them, did it a gain, still couldn't proceed and did it a third time and was able to proceed.",White,
1323,main,-1,49,,No,,,5,1,0.75,Female,English,,White,
1519,main,0,33,None.,No,,N/A,3,1,$1.25,Male,English,None,White,
1341,main,6,62,,No,,,2,2,1.00,Female,English,,White,
1074,main,2,29,,No,,,5,1,2,Female,english,,White,
1492,main,1,28,,No,No,,3,1,$1.20,Male,English,,White,
1615,main,3,43,"I think this was an interesting experiment overall. I would say if you coupled this with video as well, the unsaid body language might tell me more about each person.",No,,Nothing was confusing,5,2,1.50,Male,Engish,None that I saw,White,
1003,main,0,24,,No,,,4,1,,Male,English,,White,
1222,main,0,22,,No,,N/A,4,2,yes,Female,"english, armenian",No,White,
1374,main,3,23,,No,,N/A,4,1,$10,Female,English,No,Asian,
1274,main,4,40,,No,No,,4,1,60 cents,Female,English,,White,
1072,main,4,55,"very interesting study, it was hard to gueese were the last couple were going , I had to gueese movies as it was said it was late and the other couple had car issues.",No,,,2,1,50,Female,english,no went smoothly,White,
1525,main,5,39,I thought this was interesting,No,No,n/a,5,1,2,Male,English,No,White,
1324,main,2,24,,No,,,5,2,The price slated for the study is fair.,Male,English Language,,AA,
1434,main,5,35,,No,No,nothing,2,1,5 dollars,Male,english,no,AA,
1589,main,6,20,,No,,,3,2,,Female,english ,,White,
1283,main,-1,39,,No,,,4,1,2.25,Male,English,No,White,
1605,main,5,45,None,No,No,Not confused,4,1,60,Male,English,No,Asian,
1267,main,1,38,,No,,,2,1,1.05,Male,English,The use of github made the survey load very slowly.,White,
1547,main,3,67,,No,No,,2,1,$8 per hour,Female,English,No,White,
1509,main,4,31,good study,No,No,,5,2,4,Male,english,,White,
1109,main,0,33,Thank you,No,,,3,2,1.20,Female,English,No,White,
1533,main,3,32,,No,No,,3,2,1.00,Female,English,no,Latino,
1567,main,2,22,,No,,,4,1,1.50,Male,English,,White,
1254,main,1,33,,No,No,,5,2,yes,Female,English,no,AA,
1459,main,1,40,n/a,No,,n/a,4,1,,Female,English,n/a,White,
1696,main,3,71,,No,No,n/a,4,1,$1.25,Male,English,none,White,
1082,main,1,21,,No,No,,3,2,$.50,Male,English,no,Asian,
1095,main,3,45,,No,No,,3,1,$1.50,Male,English,,White,
1608,main,1,40,,No,,,5,1,,Male,English,no,White,
1629,main,3,37,,No,Yes,,3,1,Asking price,Male,English,Sliders could not be left at 50% regardless if I moved them or not.,White,
1413,main,3,60,,No,No,,4,2,$1,Male,English,,White,
1108,main,3,25,,No,No,,3,1,,Female,English,,White,
1603,main,1,36,,No,,N/A,5,1,$0.75,Male,English,None,White,
1535,main,1,42,,No,No,,3,2,,Female,english,,White,
1593,main,2,34,,No,,,4,1,1.50,Male,English,,White,
1444,main,6,34,,No,No,,4,1,2$,Male,English,,White,
1384,main,1,51,,No,,,3,1,,Female,English ,,White,
1453,main,6,36,It was interesting ,Yes,No,I was confused about the 14 second clip and the conversation topic.  I answered something broken because I assume this meant car trouble but it was not clear where they were going ,5,2,2.00,Female,English,no,White,
1511,main,6,45,"Interesting study, thank you!",No,,Nothing,5,2,1.00,Female,English,None thank you,White,
1686,main,1,31,,No,No,,4,2,1.20,Male,English,No,Asian,
1293,main,3,48,None,No,No,NA,4,1,yes,Female,English,No,White,
1458,main,0,63,"I enjoyed listening and thinking through the motives of the conversation, had me reading between the lines!",No,,NA,4,2,1.50,Female,English,NA,White,
1325,main,0,31,,No,No,,4,1,3.00,Male,English,,White,
1389,main,0,46,,No,,,5,1,1.50,Male,English,,White,
1047,main,0,35,,No,,,3,2,$1,Female,English,,White,
1571,main,3,44,,No,,,4,1,2,Male,english,no,White,
1230,main,2,48,,No,,,4,1,yes,Female,English,no,White,
1322,main,0,36,,No,No,,4,1,$1.40,Female,English,,White,
1336,main,0,38,I would love it when everybody can be treated equally. ,No,,N/A,3,2,0.75,Female,English,No,White,
1345,main,1,23,,No,,,4,1,$1.00,Female,English,No,White,
1583,main,0,31,,No,,N/A,4,2,1.00,Male,English,No,White,
1160,main,0,42,na,No,,na,4,1,.65,Female,English,no,White,
1210,main,-1,50,Independent does not mean someone is in between the views of Democrats and Republicans ,No,,,5,1,1.05,Other,English,,White,
1255,main,2,35,,No,,,4,1,1.05,Male,English,,Asian,
1042,main,0,27,,No,No,,4,2,Yes,Female,english,No,White,
1246,main,0,42,,No,No,I was not confused.,5,2,2,Male,English,No.,White,
1489,main,0,39,,No,,,4,1,$2,Male,English,,White,
1083,main,0,21,,No,No,,4,2,$2,Male,English,,White,
1338,main,-1,67,This study was very interesting. ,No,,,3,2,1.05,Female,English,No,AA,
1490,main,3,46,,No,,N/A,5,1,4.50,Female,English,no,AA,
1232,main,0,42,,No,,,4,1,1.50,Female,English,,White,
1689,main,6,28,none,No,,n/a,5,1,what ever was listed on prolific,Male,English,no,White,
1163,main,3,63,"In an ideal society, no one should interrupt or be interrupted. 

Good luck!",No,,,5,2,$1,Female,English,No,White,
1584,main,6,36,,No,,,3,1,,Female,English,No,White,
1187,main,1,25,,No,No,,2,2,1.05,Female,English,"The practice round in the beginning sounded like there was an additional word after the correct answer ""I"" ",White,
1041,main,2,34,,No,,,5,0,1.00,Female,English,,White,
1071,main,0,55,,No,No,n/a,4,1,.75,Female,english,none,White,
1265,main,3,48,,No,,,3,-1,,Female,english,,AA,
1205,main,5,68,,No,,,4,1,$1.00,Female,English,No,White,
1233,main,3,30`,,No,No,,3,1,Yes ,Male,English,,"AA, White",
1587,main,-1,,,,,,-1,-1,,,,,,
1152,main,2,51,N/A,No,,N/A,4,1,Yes,Female,English,Not that I noticed,White,
1460,main,2,26,Great experiment!,No,,N/A,4,2,2 dollars,Male,English,No,"Latino, White",
1078,main,2,33,,No,No,,4,1,$1.00,Male,English,,White,
1091,main,3,35,No comments really.,No,,N/A,3,1,3$,Male,English,no bugs,Latino,
1346,main,6,59,None,No,No,n/a,3,1,2.00,Male,English,n/a,White,
1334,main,0,46,,No,,,4,1,1.00,Female,English,,AA,
